field_1,id,date,price,bedrooms,bathrooms,sqft_livin,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basem,yr_built,yr_renovat,zipcode,lat,long,sqft_liv_1,sqft_lot15,bed_to_bat,has_baseme,water_dist
1332,573000685,7/17/2014,805000,2,1.75,1550,6000,1,0,1,3,7,1550,0,1920,0,98199,47.6712,-122.409,2360,6000,1.142857143,0,0.015500854
19968,2025069140,3/17/2015,1900000,3,2.5,2830,4334,3,1,4,3,10,2830,0,2006,0,98074,47.6318,-122.071,2830,38211,1.2,0,0.015604704
21185,518500460,10/8/2014,2230000,3,3.5,3760,5634,2,1,4,3,11,2830,930,2014,0,98056,47.5285,-122.205,3560,5762,0.857142857,1,0.016875205
7124,3222049024,5/22/2014,361000,3,1,1100,4046,1.5,0,4,4,6,1100,0,1922,0,98198,47.344,-122.331,2550,7847,3,0,0.017117718
8156,1724069079,3/19/2015,1450000,2,3.25,2070,3128,2,1,3,3,9,1760,310,1988,0,98075,47.5686,-122.06,2740,3568,0.615384615,1,0.017825343
1660,1925069121,3/30/2015,960000,3,2.5,1730,4102,3,1,4,3,8,1730,0,1996,0,98074,47.645,-122.084,2340,16994,1.2,0,0.018074558
5041,1965200010,11/10/2014,600000,2,1,1110,3500,1.5,0,0,3,6,970,140,1912,0,98102,47.6453,-122.327,1884,1778,2,1,0.018844759
246,2025069065,9/29/2014,2400000,4,2.5,3650,8354,1,1,4,3,9,1830,1820,2000,0,98074,47.6338,-122.072,3120,18841,1.6,1,0.021454074
9924,2818100060,5/20/2014,1280000,4,2,2850,7861,1,0,4,4,10,1450,1400,1970,0,98117,47.6995,-122.397,2810,8087,2,1,0.022676128
6451,3867400130,7/9/2014,810000,4,1.75,2000,3988,1,0,4,4,7,1000,1000,1958,0,98116,47.5925,-122.391,1690,4144,2.285714286,1,0.022681649
7175,7936000403,6/9/2014,568000,3,1.75,2050,3520,1,0,0,4,7,1070,980,1977,0,98136,47.5536,-122.399,2050,16083,1.714285714,1,0.023303746
15401,777100005,11/22/2014,1650000,3,2.25,2750,6203,1,1,4,5,7,1620,1130,1959,0,98074,47.6163,-122.068,2570,7009,1.333333333,1,0.02341947
9064,7203600040,7/25/2014,625000,3,1.5,1990,5978,1.5,0,4,4,7,1990,0,1926,0,98198,47.3449,-122.329,2100,6221,2,0,0.02363704
4223,2025049175,1/5/2015,755000,2,2.5,1360,2070,2,0,0,3,8,1360,0,1999,0,98102,47.6423,-122.329,1920,2092,0.8,0,0.023646684
8379,7129302806,2/3/2015,408000,3,1,1420,8000,1,0,4,3,7,1420,0,1950,0,98118,47.5169,-122.255,1780,8295,3,0,0.023703455
14457,7558800620,8/22/2014,600000,2,1.75,1550,7764,1,1,4,4,8,1550,0,1965,1986,98070,47.358,-122.446,1690,11620,1.142857143,0,0.024619093
15017,7129303070,8/20/2014,735000,4,2.75,3040,2415,2,0,4,3,8,3040,0,1966,0,98118,47.5188,-122.256,2620,2433,1.454545455,0,0.025237398
11877,2025049114,5/29/2014,402000,2,1,710,1173,2,0,0,4,7,710,0,1943,0,98102,47.6412,-122.329,1370,1173,2,0,0.027023278
4330,5249805090,4/7/2015,705000,4,1.5,1780,3120,1.5,0,3,3,8,1780,0,1926,0,98118,47.5589,-122.264,1710,3600,2.666666667,0,0.027089763
20025,1964700054,12/22/2014,975000,3,2.5,1660,1344,3,0,0,3,8,1660,0,2008,0,98102,47.644,-122.327,1750,2040,1.2,0,0.027910114
5818,7430500415,7/25/2014,540000,2,1,1120,7500,1,0,2,4,7,1120,0,1971,0,98008,47.619,-122.096,3040,16940,2,0,0.028056453
15316,9536600010,12/23/2014,520000,4,0.75,1960,8277,1,1,4,4,7,1320,640,1923,1986,98198,47.3648,-122.325,1940,8402,5.333333333,1,0.028264278
17430,1959703070,10/29/2014,979700,5,3,3730,5500,1.5,0,0,3,7,2160,1570,1927,0,98102,47.6507,-122.32,1890,5500,1.666666667,1,0.028841112
20077,2025049206,6/11/2014,399950,2,1,710,1131,2,0,0,4,7,710,0,1943,0,98102,47.6413,-122.329,1370,1173,2,0,0.029219611
21567,2025049203,6/10/2014,399950,2,1,710,1157,2,0,0,4,7,710,0,1943,0,98102,47.6413,-122.329,1370,1173,2,0,0.029219611
7693,3761700053,1/5/2015,2150000,3,2.75,3470,9610,3,0,4,3,11,3470,0,1989,0,98034,47.7205,-122.26,4130,11875,1.090909091,0,0.029322395
18813,1455100355,7/8/2014,1680000,3,2.5,3490,8343,2,1,4,4,9,2150,1340,1939,0,98125,47.7265,-122.281,2990,13104,1.2,1,0.029489437
11992,1965200075,3/16/2015,845000,3,1.75,1600,2538,2,0,0,3,7,1600,0,1929,0,98102,47.6447,-122.327,1660,1750,1.714285714,0,0.029708347
9847,3720800070,1/27/2015,1100000,4,3,2880,5500,2,0,0,4,9,1920,960,1926,0,98102,47.6448,-122.317,2110,5500,1.333333333,1,0.029788777
3767,3222049112,5/7/2015,449900,3,2.5,2780,8225,2,0,1,3,9,2780,0,1990,0,98198,47.3509,-122.323,720,9736,1.2,0,0.029898511
18582,3222049087,4/22/2015,570000,1,1,720,7540,1,1,4,4,6,720,0,1905,0,98198,47.3509,-122.323,1120,9736,1,0,0.029898511
14085,3867400180,3/27/2015,715000,2,1,1000,3513,1,0,4,4,5,1000,0,1914,0,98116,47.5935,-122.39,1930,4920,2,0,0.030290311
16367,6329000050,3/10/2015,641500,1,1,1000,9084,1,0,3,3,7,1000,0,1950,0,98146,47.5007,-122.382,1090,6536,1,0,0.031748179
8217,7129303045,4/17/2015,949950,5,2.5,2340,1989,2,1,4,3,8,2340,0,1959,0,98118,47.5193,-122.257,2200,3230,2,0,0.032125581
1415,7663700030,5/3/2015,1180000,2,2.5,1770,7155,2,1,4,3,8,1770,0,1957,0,98155,47.7345,-122.285,2410,10476,0.8,0,0.032185281
20193,2902201300,12/29/2014,659000,2,1.75,1180,904,2,0,0,3,10,780,400,2014,0,98102,47.6396,-122.329,1380,3610,1.142857143,1,0.032269224
12505,5700004525,6/24/2014,970000,3,2.25,3060,9950,1.5,0,2,4,9,1810,1250,1930,0,98144,47.579,-122.284,4950,10655,1.333333333,1,0.032602261
16485,2025049028,6/9/2014,403950,2,1,710,1136,2,0,0,4,7,710,0,1943,0,98102,47.6414,-122.329,1370,1173,2,0,0.032753192
3100,5605000590,12/15/2014,975000,4,2.5,3020,4950,1.5,0,0,4,9,2020,1000,1921,0,98112,47.6467,-122.304,2300,5450,1.6,1,0.033177463
20453,2902201301,12/16/2014,664950,2,1.75,1180,900,2,0,0,3,10,780,400,2014,0,98102,47.6395,-122.329,1380,3610,1.142857143,1,0.033499941
12190,3935900030,7/30/2014,775000,5,2,3540,9970,2,0,3,3,9,3540,0,1970,0,98125,47.7108,-122.277,2280,7195,2.5,0,0.034143028
15811,8073000491,12/11/2014,700000,4,1.75,1950,7139,1,1,4,3,7,1150,800,1957,0,98178,47.5121,-122.248,1600,13122,2.285714286,1,0.034592605
16722,2818600010,3/14/2015,1190000,7,3.5,3890,8342,2,0,4,3,9,2840,1050,1968,0,98117,47.7011,-122.392,2870,8342,2,1,0.035875149
12919,3867400175,2/24/2015,850000,2,1.5,1800,4144,1,0,4,4,7,900,900,1962,0,98116,47.5934,-122.39,2090,4173,1.333333333,1,0.036941615
3316,9829200495,3/25/2015,921000,4,2.5,2310,5362,2,0,4,4,8,2010,300,1928,0,98122,47.6044,-122.284,2530,5960,1.6,1,0.037763011
6856,5605000595,12/9/2014,685000,6,2.25,2770,5854,1.5,0,0,3,8,2120,650,1921,0,98112,47.6466,-122.304,2300,5450,2.666666667,1,0.038345165
5659,139000185,4/28/2015,800000,3,2.5,2100,4440,2,0,4,3,7,2100,0,1945,0,98116,47.5865,-122.397,2100,6000,1.2,0,0.03861514
11965,4353700200,12/3/2014,501000,2,1.75,1810,7523,1,0,0,3,8,1170,640,1962,0,98027,47.5695,-122.087,2090,7523,1.142857143,1,0.039944904
20234,635000009,11/12/2014,1050000,2,2.5,2350,2390,3,0,2,3,10,2000,350,2007,0,98144,47.5999,-122.286,1950,2390,0.8,1,0.040940031
10393,1814800060,2/20/2015,965000,4,3.5,3290,5559,1.5,0,0,3,8,2290,1000,1906,2004,98103,47.6788,-122.346,1790,6000,1.142857143,1,0.040961279
3128,9829200590,10/28/2014,759000,3,2.75,1960,6390,1.5,0,2,5,8,1960,0,1900,0,98122,47.6032,-122.285,2440,5870,1.090909091,0,0.041379491
9532,5423010180,7/24/2014,825000,4,2.25,2770,9340,2,0,0,4,9,2770,0,1979,0,98027,47.5628,-122.081,3010,9340,1.777777778,0,0.041840507
7189,1959702045,11/19/2014,900000,2,1,1240,5500,1,0,0,3,7,1240,0,1954,0,98102,47.6461,-122.317,2080,4400,2,0,0.042032683
4528,7130300785,6/16/2014,418000,4,3,2360,6250,1,0,2,3,7,1460,900,1960,0,98118,47.512,-122.249,2500,6250,1.333333333,1,0.042335236
12224,1025039320,4/27/2015,1310000,4,3.5,3440,5000,2,0,0,3,11,2560,880,2006,0,98199,47.6672,-122.409,3090,10241,1.142857143,1,0.042410633
11707,4078300024,7/25/2014,590000,4,2.75,2160,4205,1,0,3,3,7,1080,1080,1969,0,98125,47.7081,-122.276,2450,6014,1.454545455,1,0.042439633
1532,4444800045,4/20/2015,657500,4,1.75,1620,7560,1,0,3,4,7,1380,240,1947,0,98117,47.6981,-122.4,2170,8650,2.285714286,1,0.042617701
15570,7129303180,10/2/2014,310000,3,2,1290,6150,1,0,1,5,6,1290,0,1950,0,98118,47.5181,-122.257,1960,6150,1.5,0,0.043341203
11130,7277100510,2/14/2015,605000,3,1.75,1930,5400,2,0,2,3,9,1930,0,1978,0,98177,47.77,-122.391,2100,6840,1.714285714,0,0.044249032
3538,1563100705,9/12/2014,690000,4,3.5,1930,5400,1.5,0,2,3,7,1930,0,1920,0,98116,47.5679,-122.409,1500,3340,1.142857143,0,0.044315629
14418,4058200040,9/17/2014,361000,3,1.75,2130,8742,1,0,3,3,7,1330,800,1955,0,98178,47.5057,-122.231,2380,7448,1.714285714,1,0.044339454
12088,8655000070,6/1/2014,1600000,5,3,3640,8239,2,0,3,3,10,2540,1100,1982,0,98008,47.5842,-122.111,3330,10643,1.666666667,1,0.044687151
8034,2025049111,6/19/2014,1440000,3,3.5,3870,3819,2,0,0,3,11,2760,1110,2002,0,98102,47.6452,-122.317,2530,5500,0.857142857,1,0.045248182
8606,9301300215,6/17/2014,1010000,3,3.25,2420,1923,2,0,2,3,10,1840,580,2006,0,98109,47.637,-122.341,1840,2890,0.923076923,1,0.045547557
12176,5350201180,7/20/2014,1670000,4,3.75,3450,8395,2,0,4,4,10,2640,810,1993,0,98122,47.6134,-122.282,3180,5183,1.066666667,1,0.045620167
489,5423010350,2/10/2015,1280000,5,2.5,3400,9500,2,0,1,4,8,3400,0,1977,0,98027,47.5645,-122.082,3080,11081,2,0,0.046048576
12508,1454600256,10/13/2014,710000,5,2.5,2570,9600,1,0,2,3,8,1620,950,1956,0,98125,47.7216,-122.282,2680,9900,2,1,0.04707445
4185,6613000750,10/1/2014,1600000,4,2.75,3680,5000,2,0,3,3,9,2480,1200,1936,0,98105,47.6599,-122.269,3200,5000,1.454545455,1,0.04721108
6881,7129301578,5/21/2014,495000,3,3.5,2380,6250,2,0,3,3,8,1670,710,1997,0,98118,47.5137,-122.252,2540,4010,0.857142857,1,0.047967348
18651,4073200757,12/31/2014,690000,3,2,1890,6620,1,0,3,4,8,1890,0,1954,0,98125,47.7016,-122.274,2590,7188,1.5,0,0.048643718
1591,1250203335,5/27/2014,1050000,4,2.5,2920,7200,1,0,3,3,8,1470,1450,1921,2006,98144,47.5947,-122.288,3210,6825,1.6,1,0.048766524
8247,5250300035,10/8/2014,910000,4,1.5,2890,9000,2,0,4,3,8,2090,800,1939,0,98118,47.5682,-122.274,2550,8400,2.666666667,1,0.049645485
2616,9829200566,6/30/2014,1170000,3,3,3790,5001,2,0,0,3,10,2810,980,1989,0,98122,47.6035,-122.285,2500,6286,1,1,0.050586299
17697,9829200580,9/17/2014,990000,3,2.75,2500,6350,2,0,0,5,9,2370,130,1979,0,98122,47.6035,-122.285,2090,5454,1.090909091,1,0.050586299
3269,3625059143,9/3/2014,600000,3,2.25,2100,8276,2,0,1,4,8,2100,0,1979,0,98008,47.6068,-122.112,2420,18135,1.333333333,0,0.050658805
18265,1563100557,10/10/2014,445000,3,1.5,1310,1266,2,0,0,3,8,1120,190,2002,0,98116,47.5663,-122.408,1310,1378,2,1,0.050821086
14581,6093000065,5/19/2014,485000,3,1.75,2200,7706,2,0,2,3,7,2200,0,1908,1988,98198,47.3878,-122.326,1170,70973,1.714285714,0,0.050996784
13071,518500210,5/8/2014,868500,3,2.5,2920,3942,3,0,0,3,10,2920,0,2008,0,98056,47.531,-122.204,2920,3942,1.2,0,0.051083352
3061,6896300375,5/5/2014,580000,2,1,2540,7000,1,0,0,5,8,1320,1220,1942,0,98118,47.5259,-122.261,2160,6000,2,1,0.051156453
17916,3625049079,8/1/2014,1350000,3,2,2070,9600,1,0,1,3,7,1590,480,1946,0,98039,47.616,-122.239,3000,16215,1.5,1,0.051382109
3052,7130300690,10/28/2014,308000,2,1,1080,6250,1,0,2,4,7,1080,0,1942,1968,98118,47.5128,-122.251,2100,6875,2,0,0.051447894
16424,1102000759,10/26/2014,755000,3,2.5,2420,8856,1,0,3,3,9,1620,800,1957,0,98118,47.5405,-122.263,2650,9750,1.2,1,0.051618924
10230,868002080,6/19/2014,899000,4,2.25,2370,6000,1,0,2,3,8,1440,930,1959,0,98177,47.7023,-122.388,3280,8843,1.777777778,1,0.05215561
414,1678400105,2/12/2015,339000,4,1.5,2390,7480,1.5,0,2,3,7,2390,0,1920,0,98178,47.504,-122.227,2850,6867,2.666666667,0,0.053854844
16553,7603100095,11/10/2014,1260000,3,3,3230,8625,2,0,3,3,10,2220,1010,1998,0,98116,47.562,-122.404,2330,6022,1,1,0.053861281
12677,4078300040,2/24/2015,850000,3,3.5,3070,7050,1,0,3,3,8,1570,1500,1928,1996,98125,47.7076,-122.276,2350,5881,0.857142857,1,0.054055296
13854,7524950210,4/1/2015,910000,4,2.5,2770,9798,2,0,0,4,9,2770,0,1986,0,98027,47.562,-122.081,3040,11100,1.6,0,0.054118404
7128,868002335,3/4/2015,1430000,3,2.75,2710,9204,1.5,0,4,3,9,1480,1230,1975,0,98177,47.7039,-122.385,2960,10080,1.090909091,1,0.054521767
4400,2025049064,9/15/2014,796000,3,1,1980,3243,1.5,0,0,3,8,1980,0,1912,0,98102,47.6429,-122.327,1380,1249,3,0,0.054934266
14632,5249804825,7/2/2014,545000,3,2,1340,7200,1.5,0,0,4,7,1340,0,1923,0,98118,47.5601,-122.265,1630,5760,1.5,0,0.055204687
3611,3426049031,6/17/2014,870000,4,4.25,3010,4887,2,0,3,4,10,1940,1070,1951,0,98115,47.6933,-122.272,2540,9375,0.941176471,1,0.055437058
11587,7284900030,5/22/2014,850000,4,3.25,3090,6744,2,0,4,3,9,3090,0,1923,2015,98177,47.768,-122.388,2020,6656,1.230769231,0,0.056115055
8403,3625059140,5/7/2014,515000,3,1.75,1580,9147,1,0,1,4,7,1210,370,1967,0,98008,47.6069,-122.112,2600,23564,1.714285714,1,0.056164013
5421,4078300050,5/4/2015,780000,3,2.75,2910,3094,2,0,2,5,7,2010,900,1939,0,98125,47.7071,-122.276,2400,7530,1.090909091,1,0.056746968
18083,1455600062,10/21/2014,689000,3,2.5,2080,9612,1,0,3,4,8,1700,380,1940,0,98125,47.7293,-122.283,2560,10202,1.2,1,0.057268493
890,1962200435,11/10/2014,1010000,4,1,1820,5400,1.5,0,0,3,8,1820,0,1923,2014,98102,47.6476,-122.318,1820,5400,4,0,0.058341183
10820,7779200105,7/18/2014,945000,4,2.25,2420,9000,1,0,4,5,9,2000,420,1967,0,98146,47.4884,-122.363,2400,9035,1.777777778,1,0.058428387
12335,4036400030,3/5/2015,675000,4,2.5,1770,9858,1,0,2,3,8,1770,0,1971,0,98155,47.7382,-122.287,2470,9858,1.6,0,0.059553499
2981,375000165,7/23/2014,991700,4,3,2290,2350,2,0,1,3,9,1610,680,1924,0,98116,47.574,-122.415,1610,3820,1.333333333,1,0.059760263
14087,7784400035,8/13/2014,802000,2,1.75,2110,8700,1,0,4,4,9,1760,350,1960,0,98146,47.4912,-122.365,2120,9500,1.142857143,1,0.060477263
18450,2883200775,11/13/2014,799000,3,1,1510,4178,2,0,0,3,8,1510,0,1902,0,98103,47.6849,-122.335,2140,4916,3,0,0.060516187
14119,1962200145,3/20/2015,810000,3,1.75,2060,3300,2,0,0,4,9,1500,560,1918,0,98102,47.6498,-122.32,1830,3712,1.714285714,1,0.060709943
4227,7443000985,8/15/2014,475000,5,2.5,2010,3600,1.5,0,0,3,6,1510,500,1912,0,98119,47.6522,-122.366,1780,3600,2,1,0.061870192
11476,2883200139,3/6/2015,1330000,4,3.5,2170,3672,2,0,0,3,9,2170,0,1905,1989,98115,47.6828,-122.329,1950,3450,1.142857143,0,0.062681726
870,1250700060,4/22/2015,642450,3,1.75,1830,4160,1,0,0,3,7,1230,600,1919,0,98144,47.5962,-122.288,1950,4160,1.714285714,1,0.062781407
14400,7524950730,3/27/2015,653675,4,2.25,2280,7229,2,0,0,4,8,2280,0,1984,0,98027,47.5609,-122.081,2320,7735,1.777777778,0,0.062921207
11430,4083305085,5/20/2014,1130000,6,3,2880,3192,2,0,0,4,8,2180,700,1919,0,98103,47.6506,-122.332,1870,4533,2,1,0.063222369
9704,723000226,10/28/2014,1250000,3,2.75,2780,4815,3,0,2,3,10,2780,0,1974,0,98105,47.6569,-122.286,2820,5000,1.090909091,0,0.064095925
8904,7278100665,2/4/2015,370000,3,1,1060,7419,1,0,2,4,6,1060,0,1906,0,98177,47.7712,-122.392,2190,5953,3,0,0.065377879
20019,2025049192,10/21/2014,527500,3,2.5,1380,1389,3,0,0,3,8,1380,0,2008,0,98102,47.6427,-122.327,1380,1249,1.2,0,0.065477901
21307,9402800005,10/28/2014,1500000,3,3.5,3530,3610,2,0,0,3,10,2370,1160,2008,0,98103,47.6857,-122.339,1780,3610,0.857142857,1,0.065579099
7881,9195700040,9/26/2014,425000,3,2,1500,8086,1,0,0,3,7,1060,440,1981,0,98027,47.5584,-122.081,1550,8086,1.5,1,0.0659236
21590,7936000429,3/26/2015,1010000,4,3.5,3510,7200,2,0,0,3,9,2600,910,2009,0,98136,47.5537,-122.398,2050,6200,1.142857143,1,0.066871514
5020,3362401611,3/25/2015,1170000,4,3.75,3920,4500,3,0,0,3,8,3920,0,2013,0,98103,47.6805,-122.346,2040,3000,1.066666667,0,0.066871598
12692,2804600155,5/7/2015,1350000,4,1.75,2000,3728,1.5,0,0,4,9,1820,180,1926,0,98112,47.643,-122.299,1950,3728,2.285714286,1,0.067041657
9864,7129303240,1/2/2015,332500,3,2,1600,7995,1,0,0,3,7,1600,0,1950,1984,98118,47.5177,-122.257,2440,6900,1.5,0,0.067742668
19053,6613001241,8/11/2014,1420000,4,3,3110,4408,2.5,0,3,4,10,2510,600,1931,0,98105,47.6583,-122.27,3250,5669,1.333333333,1,0.068317594
10651,2045400075,6/23/2014,415000,4,2.5,2170,8518,1,0,3,3,7,1350,820,1955,0,98178,47.5073,-122.234,1880,7680,1.6,1,0.068752631
4572,7203600750,4/27/2015,421000,3,2.5,1930,4505,1,0,3,4,7,1440,490,1973,0,98198,47.3459,-122.326,1550,4505,1.2,1,0.068842902
17995,7203600745,10/14/2014,550000,3,2.75,2330,4780,2,0,3,3,8,1730,600,1930,1988,98198,47.3459,-122.326,1100,5336,1.090909091,1,0.068842902
7582,6371000026,1/22/2015,367500,2,2,1030,600,2,0,0,3,8,680,350,2004,0,98116,47.5788,-122.41,1120,1267,1,1,0.070380595
16843,6371000020,11/11/2014,380000,2,2,1120,780,2,0,0,3,8,760,360,2004,0,98116,47.5788,-122.41,1120,1322,1,1,0.070380595
13597,635000145,10/7/2014,565000,2,1.75,1740,4736,1.5,0,2,4,7,1040,700,1907,0,98144,47.5994,-122.287,2020,4215,1.142857143,1,0.070446139
3,2487200875,12/9/2014,604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,1.333333333,1,0.070517146
8040,5316100820,1/22/2015,1200000,3,3,2350,1620,2,0,0,3,9,1560,790,2001,0,98112,47.6308,-122.279,2000,4380,1,1,0.070668189
18364,2025049161,5/6/2014,1050000,3,2.5,2200,1970,2,0,0,3,9,1610,590,2008,0,98102,47.6426,-122.327,1890,3505,1.2,1,0.071171156
20441,3342100569,8/13/2014,950000,3,2.5,2700,6947,2,0,3,3,9,2700,0,2013,0,98056,47.5172,-122.208,2500,6947,1.2,0,0.071327499
1203,4123400340,12/3/2014,525000,4,2.25,1580,7307,1,0,0,3,8,1160,420,1973,0,98027,47.569,-122.086,2020,7458,1.777777778,1,0.071456931
9186,7935000625,4/9/2015,975000,3,2.5,2530,7000,2.5,0,4,3,9,2530,0,1915,1999,98136,47.5465,-122.398,2380,7000,1.2,0,0.071772308
5983,9275700005,4/27/2015,1050000,3,2.25,2880,6092,2,0,4,4,8,1920,960,1983,0,98116,47.5878,-122.381,2880,5308,1.333333333,1,0.072144408
12201,4154303215,8/28/2014,902000,3,2.75,3240,7200,1,0,2,3,8,1620,1620,1960,0,98118,47.567,-122.273,2700,7200,1.090909091,1,0.072454602
7425,5316100780,9/22/2014,2580000,4,3.5,3280,3800,2,0,0,3,11,2880,400,2011,0,98112,47.6299,-122.28,2050,3800,1.142857143,1,0.072672314
8231,4315701163,4/13/2015,585000,3,1.5,2230,6000,1,0,1,3,8,1260,970,1968,0,98136,47.5373,-122.395,2120,7200,2,1,0.072858083
15768,8835900010,8/4/2014,579000,3,1,1590,5400,1,0,1,3,8,1280,310,1948,0,98118,47.5509,-122.261,2140,7161,3,1,0.072905743
1343,9301300751,7/28/2014,464950,3,1.5,1200,890,2,0,0,3,8,1030,170,2008,0,98109,47.6384,-122.342,1230,2120,2,1,0.073151344
19243,6710100131,4/10/2015,981000,3,3.25,2730,9588,2,0,1,3,10,1900,830,1984,0,98052,47.6339,-122.09,2730,12736,0.923076923,1,0.073197792
2961,7278100690,9/18/2014,580000,3,1.5,1860,7190,2,0,1,5,7,1860,0,1952,0,98177,47.7716,-122.392,1670,5525,2,0,0.073279814
5886,6372000101,8/20/2014,483500,3,2,1200,2016,1,0,1,4,7,600,600,1931,0,98116,47.5811,-122.404,1730,4520,1.5,1,0.07340306
17941,4237900645,10/10/2014,475000,2,1.75,1320,3420,1,0,1,3,7,1080,240,1955,0,98199,47.6639,-122.399,2070,6000,1.142857143,1,0.07396868
7369,9275200080,11/7/2014,295000,3,1.5,720,7450,1,0,1,1,5,720,0,1924,0,98126,47.584,-122.375,2600,7360,2,0,0.074004563
6661,1245500950,5/4/2015,1100000,4,2.5,2190,6300,1,0,3,3,7,1240,950,1960,0,98033,47.6918,-122.216,2730,14659,1.6,1,0.074250247
3946,1825069031,8/14/2014,550000,4,1.75,2410,8447,2,0,3,4,8,2060,350,1936,1980,98074,47.6499,-122.088,2520,14789,2.285714286,1,0.074947577
3947,1825069031,10/16/2014,550000,4,1.75,2410,8447,2,0,3,4,8,2060,350,1936,1980,98074,47.6499,-122.088,2520,14789,2.285714286,1,0.074947577
19414,7430500301,10/16/2014,700000,3,1.5,2240,7227,2,0,1,3,9,1440,800,1977,0,98008,47.6208,-122.093,3150,16150,2,1,0.075784215
7196,2927600630,4/16/2015,995000,4,3.5,2780,9550,2,0,4,5,10,2530,250,1978,0,98166,47.454,-122.373,2724,10634,1.142857143,1,0.07613444
3787,4077800017,8/13/2014,775000,4,2.75,2740,6200,1.5,0,3,4,8,1820,920,1947,0,98125,47.7084,-122.277,2430,6000,1.454545455,1,0.076181549
